date,close,imp30,imp60,imp90,imp120
12/14/2011,54.3129,33.95,34.708,34.762,36.01
12/15/2011,54.1343,31.43,32.922,33.417,35.096
12/16/2011,54.4314,30.87,32.492,32.811,34.446
12/19/2011,54.6014,30,32.345,32.706,34.534
12/20/2011,56.5857,27.83,31.167,31.527,33.647
12/21/2011,56.635,28.54,31.823,31.896,33.694
12/22/2011,56.9357,27.05,30.218,30.815,32.848
12/23/2011,57.6257,26.79,29.392,29.98,32.017
12/27/2011,58.0757,28.63,30.419,30.755,32.431
12/28/2011,57.5114,29.18,30.681,31.213,32.784
12/29/2011,57.8743,29.13,31.346,31.725,33.102
12/30/2011,57.8571,29.62,31.53,31.96,33.319
1/3/2012,58.7471,30.19,31.239,31.54,32.729
1/4/2012,59.0629,26.81,30.564,30.749,32.097
1/5/2012,59.7186,25.85,30.163,30.302,31.531
1/6/2012,60.35,25.92,29.467,29.697,30.908
1/9/2012,60.25,28.18,29.399,29.444,30.523
1/10/2012,60.4629,30.11,28.65,28.652,29.723
1/11/2012,60.3643,29.5,28.26,28.441,29.387
1/12/2012,60.1986,29.86,28.497,28.733,29.672
1/13/2012,59.9957,30.8,29.009,29.318,30.127
1/17/2012,60.6714,30.64,28.714,29.352,30.009
1/18/2012,61.3014,29.83,27.913,28.675,29.631
1/19/2012,61.1071,29.66,27.444,28.597,29.693
1/20/2012,60.0429,32.24,29.406,30.232,30.853
1/23/2012,61.06,31.84,28.795,29.478,29.979
1/24/2012,60.0714,33.21,29.931,30.436,30.25
1/25/2012,63.8086,20.27,21.645,23.781,26.263
1/26/2012,63.4957,19.25,20.573,22.605,25.532
1/27/2012,63.8971,18.98,20.8,23.208,26.344
1/30/2012,64.7157,19.81,21.771,24.289,26.745
1/31/2012,65.2114,19.59,21.949,24.627,26.901
2/1/2012,65.17,18.88,21.238,23.891,26.179
2/2/2012,65.0171,17.69,20.406,23.35,25.596
2/3/2012,65.6686,17.42,20.519,23.185,25.26
2/6/2012,66.2814,18.03,20.673,23.392,24.951
2/7/2012,66.9757,21.08,22.299,24.559,25.663
2/8/2012,68.0971,22.92,23.868,25.756,26.536
2/9/2012,70.4529,26.06,26.12,27.191,27.666
2/10/2012,70.5271,27.34,27.46,28.385,28.198
2/13/2012,71.8,29.31,29.286,30.049,29.331
2/14/2012,72.78,29.84,30.497,31.292,30.656
2/15/2012,71.0957,33.4,32.223,32.384,31.748
2/16/2012,71.7929,30.15,30.732,31.532,31.032
2/17/2012,71.7314,30.74,30.673,31.236,30.621
2/21/2012,73.55,30.26,30.214,30.732,30.165
2/22/2012,73.2914,31.31,31.011,30.948,30.381
2/23/2012,73.77,28.56,29.614,30.154,29.564
2/24/2012,74.63,25.84,27.95,28.688,28.566
2/27/2012,75.1086,25.99,27.664,28.033,28.369
2/28/2012,76.4871,27.99,29.069,29.442,29.53
2/29/2012,77.4914,32.34,32.429,31.911,30.671
3/1/2012,77.7814,32.04,31.853,31.733,31.113
3/2/2012,77.8829,29.63,30.459,30.632,30.218
3/5/2012,76.1829,32.16,31.603,31.553,31.131
3/6/2012,75.7529,31.92,32.309,31.945,31.249
3/7/2012,75.8129,30.33,30.809,30.555,30.431
3/8/2012,77.4271,28.82,29.546,29.678,30.052
3/9/2012,77.8814,27.32,28.493,28.88,29.543
3/12/2012,78.8571,27.6,28.978,28.905,29.327
3/13/2012,81.1571,27.32,29.038,28.716,29.165
3/14/2012,84.2257,35.37,35.902,33.708,31.783
3/15/2012,83.6514,40,38.945,35.772,32.828
3/16/2012,83.6529,38.49,38.427,35.706,33.131
3/19/2012,85.8714,36.96,37.441,34.495,32.641
3/20/2012,86.5657,35.25,37.007,34.569,33.603
3/21/2012,86.0714,32.26,34.807,33.119,33.087
3/22/2012,85.6014,31.25,33.612,32.164,32.213
3/23/2012,85.1157,30.19,33.479,31.798,31.718
3/26/2012,86.7114,29.36,32.654,31.208,31.604
3/27/2012,87.7829,28.88,31.878,30.762,31.209
3/28/2012,88.2314,30.11,32.761,31.777,32.057
3/29/2012,87.1229,30.15,32.72,31.656,32.029
3/30/2012,85.6386,30.95,33.827,32.801,32.754
4/2/2012,88.3829,30.5,32.578,31.488,31.676
4/3/2012,89.9029,31.35,34.098,32.795,32.738
4/4/2012,89.1871,31.39,34.152,32.978,33.446
4/5/2012,90.5257,31.47,33.961,32.722,33.15
4/9/2012,90.89,36.7,36.955,35.133,34.403
4/10/2012,89.7771,41.82,38.508,36.133,35.259
4/11/2012,89.4443,41.41,38.065,35.816,35.515
